AWS_DIRECTORY,DIRECTORY,TYPE,SOURCE_FILE,JSON_FILENAME,CONTENTS_DESCRIPTION_ESTIMATE,FIELDS_CSV
https://vtopendata-prd.s3.us-east-2.amazonaws.com/_Other/CAMA/sample-microsolve-sburl/condo/,condo,Condominium,EXP_COSTABLS.CSV,EXP_COSTABLS_CONDO.json,Cost Tables,"tablenum,pagenum,rownum,label,col01,col02,col03,col04,col05,col06,col07,col08,col09,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col87,col88,col89,col90,col91,col92,col93,col94,col95,col96,col97,col98,col99,timestamp"
https://vtopendata-prd.s3.us-east-2.amazonaws.com/_Other/CAMA/sample-microsolve-sburl/condo/,condo,Condominium,EXP_COSTEQU.CSV,EXP_COSTEQU_CONDO.json,Cost Equations,"nline,order,cname,cequat,cresult,nprint,llookup,lchild,childgrp,lprint,childtab,group,ctable,cpage,crow,ccol,tr,cformat,cerrhand,lround,nrndamt,lrenum,templine,temporder"
https://vtopendata-prd.s3.us-east-2.amazonaws.com/_Other/CAMA/sample-microsolve-sburl/condo/,condo,Condominium,EXP_COSTFACT.CSV,EXP_COSTFACT_CONDO.json,Cost Factors,"ctype,cfromtab,cfromfld,ctotab,ctofld,csetno,timestamp"
https://vtopendata-prd.s3.us-east-2.amazonaws.com/_Other/CAMA/sample-microsolve-sburl/condo/,condo,Condominium,EXP_COSTSET.CSV,EXP_COSTSET_CONDO.json,Cost Engine Setup,"csetno,cdesc,skpprt,sale_price,assessvalu,estmktvalu,adjsp1stc,madjsalep,meanwght,powerofdif,nooptimize,timestamp"
https://vtopendata-prd.s3.us-east-2.amazonaws.com/_Other/CAMA/sample-microsolve-sburl/condo/,condo,Condominium,EXP_CT_LIST.CSV,EXP_CT_LIST_CONDO.json,Cost Adjustments List,"tabnum,tabdesc,pagdesc,rowdesc,coldesc,pagefactor,colfactor,rowfactor,tablfactor"
https://vtopendata-prd.s3.us-east-2.amazonaws.com/_Other/CAMA/sample-microsolve-sburl/condo/,condo,Condominium,EXP_DATADICT.CSV,EXP_DATADICT_CONDO.json,Data Dictionary With Table Listing,"selected,fac_id,clabel,field_name,field_type,field_len,field_dec,categ,max_value,min_value,table_id,cframe_nam,cpageid,lallow_del,ctext,cfacorder,spinerid,browfield,broworder,calc_field,head_width,head_widt2,rpt_sel,resrvd,apex,hh,inet"
,condo,Condominium,EXP_ERRPROC.CSV,,Error List,",prog,line,rec,fac_id,timestamp"
https://vtopendata-prd.s3.us-east-2.amazonaws.com/_Other/CAMA/sample-microsolve-sburl/condo/,condo,Condominium,EXP_FACEQUIV.CSV,EXP_FACEQUIV_CONDO.json,Facilities Equivalents List,"fac_var,fac_id,lchild,newtabl"
https://vtopendata-prd.s3.us-east-2.amazonaws.com/_Other/CAMA/sample-microsolve-sburl/condo/,condo,Condominium,EXP_GARAGE.CSV,EXP_GARAGE_CONDO.json,Garage Type and Details by parcel_id,"parcel_id,secid,garageid,type,area,siding,finish,fin_sqft,floor,roof"
https://vtopendata-prd.s3.us-east-2.amazonaws.com/_Other/CAMA/sample-microsolve-sburl/condo/,condo,Condominium,EXP_HEAT.CSV,EXP_HEAT_CONDO.json,Heating Type and Percent by parcel_id,"parcel_id,secid,heatid,type,percent"
https://vtopendata-prd.s3.us-east-2.amazonaws.com/_Other/CAMA/sample-microsolve-sburl/condo/,condo,Condominium,EXP_IMPROVE.CSV,EXP_IMPROVE_CONDO.json,Improvements index by parcel_id,"type,units,rate,total,parcel_id,secid,improveid"
https://vtopendata-prd.s3.us-east-2.amazonaws.com/_Other/CAMA/sample-microsolve-sburl/condo/,condo,Condominium,EXP_MAIN.CSV,EXP_MAIN_CONDO.json,Main property details by parcel_id,"parcel_id,owner_name,owner_nam2,owner_addr,city,state,zip_code,prop_locat,tax_map_nu,neighborho,sec_t,prop_type,assess_yea,misc_adjus,cama_dwell,cama_land,cama_outb,cama_sitei,cama_total,sale_price,sale_date,book,page,validity,two_acre_v,homestead,homestd_va,inspect_dt,re_inspect,ownership,current_st,p_misc9,factora,factorb,factorc,factord,factore,factorf,factorg,factorh,factori,factorj,cama_site2,fac_209,fac_210,fac_211,fac_212,fac_213,fac_214,fac_215,fac_216,fac_217,fac_218,fac_219,fac_220,fac_221,fac_222,fac_223,fac_224,fac_225,fac_226,fac_227,fac_228,fac_229,fac_230,fac_231,fac_232,fac_233,fac_234,fac_235,fac_236,fac_237,fac_238,proximity,owner_add2,prop_numb,selectvalu,lastupdate,ckoutdte,ckoutid,parcstatus,parc_span"
,condo,Condominium,EXP_MSAUDIT.CSV,,Microsolve administrative audit logfile,"cuserid,cprogname,cdbcname,cotherkey,cparcelid,clevel2id,clevel3id,ctableid,cfieldname,cfieldtype,timestamp,ctype,ladminseen"
,condo,Condominium,EXP_MSCONFIG.CSV,,Microsolve configuration details,"compsetp,bmpdirpath,bmpuselink,costbimpat,costinvali,costmaxcol,cvfelimina,cvfmaxfnln,cvfnofname,cvfnofruls,cvfnprefix,cvfserialn,cvfsubfrom,cvfsubto,cvftrim_s,novalcode0,parcfld_id,parcfldsid,parcfldadd,phototable,photofield,photoid,sketchtable,sketchfield,sketchid,remarktable,remarkfield,remarkid,timestamp,phototype,ctypecost,lmsaudit,adddel,fxddict,aadmin,reptsel,extract,fxcompset,camaapexjpgdir,apexuselink,apextxt,jpgsketchfield,jpgdirfield,estsales,spssdatadir,jpgtable,slshactv,histsvbut,idwidth,idused,slshloca,slsstat,chkinout,apexcd,newsket,rtitle1,rtitle2,replist,custde,exphh,expin,photdefa,sketdte,apexvers,ldispsect,lcostrmind,camaapexax_dir,cvers_cama,cvers_cest,cvers_apex,wrnskarea,nvers_cost,datasprto"
https://vtopendata-prd.s3.us-east-2.amazonaws.com/_Other/CAMA/sample-microsolve-sburl/condo/,condo,Condominium,EXP_OYVAL.CSV,EXP_OYVAL_CONDO.json,Valuation details by parcel_id,"parcel_id,oyvalid,nperiod,cama_dwell,cama_land,cama_outb,cama_siteimp,cama_total,priorratio"
https://vtopendata-prd.s3.us-east-2.amazonaws.com/_Other/CAMA/sample-microsolve-sburl/condo/,condo,Condominium,EXP_PHOTOS.CSV,EXP_PHOTOS_CONDO.json,Property photos index by parcel_id; located on inaccessible server,"parcel_id,photoid,desc"
https://vtopendata-prd.s3.us-east-2.amazonaws.com/_Other/CAMA/sample-microsolve-sburl/condo/,condo,Condominium,EXP_PORCH.CSV,EXP_PORCH_CONDO.json,Porch details by parcel_id,"parcel_id,secid,porchid,area,floor,wall,roof,ceiling,exstr_sof,exstr_typ,exstr_flt,exstr_land"
https://vtopendata-prd.s3.us-east-2.amazonaws.com/_Other/CAMA/sample-microsolve-sburl/condo/,condo,Condominium,EXP_REPLIST.CSV,EXP_REPLIST_CONDO.json,Report list and contents,"name,desc,procname,ornum,code,sketches,pictures,ptr_opts,duplex,pgspparc,detail23,compiled,allparcs,sprptloc"
https://vtopendata-prd.s3.us-east-2.amazonaws.com/_Other/CAMA/sample-microsolve-sburl/condo/,condo,Condominium,EXP_SECTION.CSV,EXP_SECTION_CONDO.json,Building section details by parcel_id,"secid,parcel_id,bldg_type,design,quality,style,stories,condition,no_of_unit,year_built,effect_age,bldg_sqft,wall_heigh,frame,subfloor,plaster_in,energy_adj,floor_insu,floor_ins,foundation,dormer_lin,dormer_roo,plumb_fixt,plumb_roug,total_room,bedrooms,full_baths,half_baths,kitchens,fireplaces,improv,imp_total,basemnt_wa,basemnt_fi,basemnt_sf,basemnt_ga,basemnt_sq,exstairsof,exstairtyp,exstairfli,landings_s,manuf_len,manuf_widt,skirting,skirting_l,tipouts_sf,complete_p,phys_depr,econ_depr,func_depr,life_expec,misc_adj,rcn,rcnld,cama_dwell,prop_dwell,prev_dwell,impr_total,gara_total,porc_total,outsd_entr,sketchbmp,tot_prch_v,fptype,sketdate,t40pageval,tgarfinsf"
https://vtopendata-prd.s3.us-east-2.amazonaws.com/_Other/CAMA/sample-microsolve-sburl/condo/,condo,Condominium,EXP_UTILS.CSV,EXP_UTILS_CONDO.json,Utilities details; mostly emtpty,"user_name,note"
https://vtopendata-prd.s3.us-east-2.amazonaws.com/_Other/CAMA/,CAMA,Lookup,,vt_tax_property_class_codes.json,Tax Department Property Class Codes Lookup,
https://vtopendata-prd.s3.us-east-2.amazonaws.com/_Other/CAMA/sample-microsolve-sburl/,sample-microsolve-sburl,Lookup,,EXP_LOOKUP.json,NEMRC Property Details Lookup,
,,,,,,
,,,,,,
